t_s,sinal_filtrado,janela,classificacao,class_bin
23.018,1.2388340240177072e-05,200,0,0
23.02,1.0056843376823377e-05,200,0,0
23.022,7.525242581967565e-06,200,0,0
23.024,4.805632714490752e-06,200,0,0
23.026,1.9091987168717497e-06,200,0,0
23.028,-1.1523379877327193e-06,200,0,0
23.03,-4.365275108603603e-06,200,0,0
23.032,-7.712660242696888e-06,200,0,0
23.034,-1.1173342022220336e-05,200,0,0
23.036,-1.4721401953582992e-05,200,0,0
23.038,-1.8325934774106304e-05,200,0,0
23.04,-2.1951096365417965e-05,200,0,0
23.042,-2.5556337873972867e-05,200,0,0
23.044,-2.9096764554456045e-05,200,0,0
23.046,-3.252357685224313e-05,200,0,0
23.048,-3.5784567285177094e-05,200,0,0
23.05,-3.882466464327102e-05,200,0,0
23.052,-4.158653827955132e-05,200,0,0
23.054,-4.401129590163973e-05,200,0,0
23.056,-4.603932176858505e-05,200,0,0
23.058,-4.761130300166246e-05,200,0,0
23.06,-4.866947809592405e-05,200,0,0
23.062,-4.915911702888978e-05,200,0,0
23.064,-4.9030213907260153e-05,200,0,0
23.066,-4.823934860640361e-05,200,0,0
23.068,-4.6751657627164855e-05,200,0,0
23.07,-4.4542845634682505e-05,200,0,0
23.072,-4.160116341060892e-05,200,0,0
23.074,-3.792927012168171e-05,200,0,0
23.076,-3.35458850643487e-05,200,0,0
23.078,-2.848711803828861e-05,200,0,0
23.08,-2.280735431830497e-05,200,0,0
23.082,-1.6579567158176528e-05,200,0,0
23.084,-9.894942238996964e-06,200,0,0
23.086,-2.861724191306537e-06,200,0,0
23.088,4.396768418849643e-06,200,0,0
23.09,1.1744971171933276e-05,200,0,0
23.092,1.9038711220965927e-05,200,0,0
23.094,2.612956997408657e-05,200,0,0
23.096,3.2869826897373565e-05,200,0,0
23.098,3.91177693543237e-05,200,0,0
23.1,4.474308020201708e-05,200,0,0
23.102,4.963196179145671e-05,200,0,0
23.104,5.36916472966898e-05,200,0,0
23.106,5.685398944570186e-05,200,0,0
23.108,5.907787822783856e-05,200,0,0
23.11,6.035030927595544e-05,200,0,0
23.112,6.068601695105551e-05,200,0,0
23.114,6.0125710634485045e-05,200,0,0
23.116,5.873309013300249e-05,200,0,0
23.118,5.659092678389071e-05,200,0,0
23.12,5.379654732597625e-05,200,0,0
23.122,5.045704813512958e-05,200,0,0
23.124,4.668452938029936e-05,200,0,0
23.126,4.259159760263119e-05,200,0,0
23.128,3.828734508410812e-05,200,0,0
23.13,3.3873973090496466e-05,200,0,0
23.132,2.9444177726225072e-05,200,0,0
23.134,2.5079353284630467e-05,200,0,0
23.136,2.0848599711522176e-05,200,0,0
23.138,1.680847394792191e-05,200,0,0
23.14,1.30034013072768e-05,200,0,0
23.142,9.46663689321689e-06,200,0,0
23.144,6.221626005681145e-06,200,0,0
23.146,3.283576000345128e-06,200,0,0
23.148,6.610424320015385e-07,200,0,0
23.15,-1.6426517062970832e-06,200,0,0
23.152,-3.628309534499948e-06,200,0,0
23.154,-5.3001457780112496e-06,200,0,0
23.156,-6.665441608599962e-06,200,0,0
23.158,-7.734447089280753e-06,200,0,0
23.16,-8.520361664376639e-06,200,0,0
23.162,-9.03923759738905e-06,200,0,0
23.164,-9.309704262740392e-06,200,0,0
23.166,-9.35247723849658e-06,200,0,0
23.168,-9.189679925003498e-06,200,0,0
23.17,-8.844053210489106e-06,200,0,0
23.172,-8.338144566199876e-06,200,0,0
23.174,-7.693547868362772e-06,200,0,0
23.176,-6.930232898568384e-06,200,0,0
23.178,-6.065993963987749e-06,200,0,0
23.18,-5.1160670511149085e-06,200,0,0
23.182,-4.0929833230706e-06,200,0,0
23.184,-3.0067137837346995e-06,200,0,0
23.186,-1.865123319661824e-06,200,0,0
23.188,-6.747206797047348e-07,200,0,0
23.19,5.583292118640368e-07,200,0,0
23.192,1.82698862179986e-06,200,0,0
23.194,3.1220164923828483e-06,200,0,0
23.196,4.430645269742304e-06,200,0,0
23.198,5.73541333031234e-06,200,0,0
23.2,7.0133214483879e-06,200,0,0
23.202,8.235479486771273e-06,200,0,0
